epoch,avg_reward,actor_loss,critic_loss,success_rate,max_goal_dist,noise
1,-0.488445,-10.8767,104.067,37.3333,3,0.3
2,0.391913,-40.5189,80.1162,87.1314,5,0.295763
3,0.492549,-82.246,47.4748,83.1683,7,0.291525
4,0.117319,-74.0861,54.7337,63.8587,7,0.287288
5,0.141852,-55.5383,92.7581,66.5689,9,0.283051
6,-0.120137,-38.3284,130.719,52.443,9,0.278814
7,-0.164913,-26.7427,164.069,47.7987,9,0.274576
8,-0.192092,-29.2012,185.738,50.9025,9,0.270339
9,-0.115726,-24.5274,202.426,53.4653,9,0.266102
10,-0.135744,-4.74376,206.036,51.2739,9,0.261864
11,-0.374378,-5.71685,268.182,41.1972,9,0.257627
12,-0.22326,10.307,224.174,49.5082,9,0.25339
13,-0.267735,19.5728,238.011,48.2315,9,0.249153
14,-0.229847,14.9209,223.269,47.6341,9,0.244915
15,-0.194751,3.95076,280.321,50.4983,9,0.240678
16,-0.20288,9.53607,264.166,48.4375,9,0.236441
17,-0.285491,-9.3811,314.074,46.2908,9,0.232203
18,-0.346212,9.80628,341.721,44.3366,9,0.227966
19,-0.327218,17.1723,277.583,42.1222,9,0.223729
20,-0.193257,9.40748,252.872,50.1493,9,0.219492
21,-0.330433,8.80254,208.73,41.3598,9,0.215254
22,-0.273687,1.31308,183.728,44.6429,9,0.211017
23,-0.316852,3.59511,246.773,45.4861,9,0.20678
24,-0.267148,19.3096,259.245,46.7577,9,0.202542
25,-0.231579,12.268,271.151,49.8339,9,0.198305
26,-0.215666,15.3763,297.653,47.7341,9,0.194068
27,-0.237081,7.94387,278.714,47.8395,9,0.189831
28,-0.232459,-1.16025,333.025,45.7576,9,0.185593
29,-0.320686,-47.2516,580.181,42.7273,9,0.181356
30,-0.16667,-47.9857,604.491,47.1976,9,0.177119
31,-0.165125,7.27786,375.166,46.9697,9,0.172881
32,-0.282133,10.2355,278.697,42.9825,9,0.168644
33,-0.302234,9.63795,216.429,43.77,9,0.164407
34,-0.15167,7.26686,182.15,51.2821,9,0.160169
35,-0.218575,13.5121,227.594,51.5152,9,0.155932
36,-0.0928229,21.6395,258.221,51.7241,9,0.151695
37,-0.0585762,7.81174,197.256,51.2262,9,0.147458
38,-0.140197,3.1716,206.734,50.6493,9,0.14322
39,-0.17651,20.8977,293.864,50.9554,9,0.138983
40,-0.137123,41.6863,342.745,48.7879,9,0.134746
41,-0.112493,16.8837,228.517,49.8638,9,0.130508
42,-0.200984,7.37609,207.603,44.7802,9,0.126271
43,-0.160674,15.3343,197.09,47.0414,9,0.122034
44,-0.162651,0.93069,186.106,45.7064,9,0.117797
45,-0.103871,-3.99449,199.74,50.8475,9,0.113559
46,-0.067459,-13.8034,175.708,51.8625,9,0.109322
47,-0.0685212,-9.45274,190.25,51.9062,9,0.105085
48,-0.115338,-17.0895,186.147,52.5994,9,0.100847
49,-0.0861808,-14.8179,190.747,50.9589,9,0.0966102
50,-0.155887,-5.63911,181.087,45.1149,9,0.0923729
51,-0.136616,-3.97975,172.844,50.1538,9,0.0881356
52,-0.143025,5.33825,183.717,48.8506,9,0.0838983
53,-0.112189,6.20875,228.66,50.7418,9,0.079661
54,-0.224265,22.6338,348.085,42.4419,9,0.0754237
55,-0.149718,0.255567,252.66,54.2857,9,0.0711865
56,-0.263587,-7.45805,218.236,43.75,9,0.0669492
57,-0.159353,-5.32349,206.674,46.6307,9,0.0627119
58,-0.097999,-25.7224,173.78,50.2632,9,0.0584746
59,-0.309936,-20.1018,240.439,45.481,9,0.0542373
60,-0.282797,-27.3241,655.54,39.5543,9,0.05
